"id","title","description","availability","inventory","condition","price","sale_price","link","image_link","gtin","is_bundle","age_group","google_product_category"
"6809312165978","Nickel Creek - Celebrants","Celebrants, Nickel Creek's first studio album since 2014, is available on exclusive Black with Gold Swirl vinyl.","in stock",28,"new","39.00 USD","","https://www.vinylmeplease.com/products/nickel-creek-celebrants","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/Celebrants_Nickel_Creek_Store.jpg?v=1686597045","793888870383","no","adult","543523"
"6797103792218","Raveena - Lucid","The reissue of Raveena's debut LP, Lucid, is available on exclusive Baby Pink vinyl.","in stock",9,"new","36.00 USD","","https://www.vinylmeplease.com/products/raveena-lucid","https://cdn.shopify.com/s/files/1/0069/3465/9162/files/Lucid_store.jpg?v=1682626235","19469096403","no","adult","543523"
"6710136242266","Carl Perkins - Blue Suede Shoes","The reissue of Carl Perkins' Blue Suede Shoes is available on exclusive Blue vinyl.","in stock",518,"new","34.00 USD","","https://www.vinylmeplease.com/products/carl-perkins-blue-suede-shoes","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/blue_suede_shoes_store.jpg?v=1666144099","810143932737","no","adult","543523"
"6721459781722","Tegan and Sara - Crybaby","Crybaby is indie pop duo Tegan and Sara's 10th album. We have it on Orange Sherbert vinyl.","in stock",11,"new","42.00 USD","","https://www.vinylmeplease.com/products/tegan-and-sara-crybaby","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/crybaby_store.jpg?v=1657644682","810090091136","no","adult","543523"
"6809312100442","Leland Whitty - Anyhow","Leland Whitty of BADBADNOTGOOD's solo album, Anyhow, is available on exclusive Olive Green vinyl.","in stock",79,"new","40.00 USD","","https://www.vinylmeplease.com/products/leland-whitty-anyhow","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/anyhow_store.jpg?v=1666642676","810874025968","no","adult","543523"
"6841605750874","Niki - MOONCHILD","The first-ever reissue of Indonesian artist NIKI's debut album MOONCHILD is available on exclusive Opaque Silver vinyl.","in stock",153,"new","40.00 USD","","https://www.vinylmeplease.com/products/niki-moonchild","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/moonchild_store_corrected.jpg?v=1680031851","5054197509032","no","adult","543523"
"6748741566554","The Format - Dog Problems","The reissue of The Format's Dog Problems is available on exclusive Kelly Green vinyl.","in stock",27,"new","40.00 USD","","https://www.vinylmeplease.com/products/the-format-dog-problems","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/dog_problems_-store.jpg?v=1678833058","617308046205","no","adult","543523"
"6569671458906","Azar Lawrence - Shadow Dancing","Shadow Dancing is Azar Lawrence's 1985 album. We have it on Grape Ghostly vinyl.","in stock",65,"new","37.00 USD","","https://www.vinylmeplease.com/products/azar-lawrence-shadow-dancing","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/shadow_dancing480923.jpg?v=1633366448","735202315446","no","adult","543523"
"6755420012634","Various Artists - Live Forever: A Tribute to Billy Joe Shaver","Live Forever: A Tribute to Billy Joe Shaver is available on exclusive Old Chunk Of Coal vinyl.","in stock",46,"new","40.00 USD","","https://www.vinylmeplease.com/products/various-artists-live-forever-a-tribute-to-billy-joe-shaver","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/live_forever_store_8e87e041-c7d8-4306-9747-d27f5d3a4ee5.jpg?v=1666289632","607396570515","no","adult","543523"
"6713599623258","Tool - Fear Inoculum","The deluxe, limited edition of Tool's 2019 studio album, Fear Inoculum, is here.","in stock",95,"new","213.00 USD","","https://www.vinylmeplease.com/products/tool-fear-inoculum","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/fear_inoculum_box_store.jpg?v=1646144332","194398687919","no","adult","543523"
"6668467273818","Swizz Beatz - Long Live Jazz","We're carrying Swizz Beatz and 12on12's highly exclusive and deluxe collaboration that bridges together music and art, featuring a selection of jazz music curated by Swizz Beatz himself.","in stock",54,"new","113.00 USD","","https://www.vinylmeplease.com/products/swizz-beatz-long-live-jazz","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/long_live_jazz_store.jpg?v=1644588404","810143930313","no","adult","543523"
"6702077083738","49 Winchester - Fortune Favors the Bold","49 Winchester's fourth album, Fortune Favors the Bold, is available on Tan vinyl.","in stock",64,"new","36.00 USD","","https://www.vinylmeplease.com/products/49-winchester-fortune-favors-the-bold","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/fortune_favors_the_bold_store.jpg?v=1645547687","607396561810","no","adult","543523"
